"(선)바위굴:통영(중)","2014-01-17","20000"
"(활)바위굴:마산(중)","2014-01-18","10100"
"(활)바위굴:사천(대)","2014-01-18","15900"
"(활)바위굴:마산(대)","2014-01-18","16000"
"(활)바위굴:통영(대)","2014-01-18","16100"
"(선)바위굴:통영(대)","2014-01-18","19100"
"(선)바위굴:통영(중)","2014-01-18","18700"
"(선)바위굴:마산(대)","2014-01-18","20000"
"(활)바위굴:사천(대)","2014-01-20","15000"
"(활)바위굴:삼천포(대)","2014-01-20","16000"
"(활)바위굴:통영(대)","2014-01-20","16000"
"(활)바위굴:마산(대)","2014-01-20","16000"
"(활)바위굴:마산(중)","2014-01-20","8200"
"(선)바위굴:통영(대)","2014-01-20","18500"
"(선)바위굴:통영(중)","2014-01-20","20000"
"(활)바위굴:사천(대)","2014-01-21","15000"
"(활)바위굴:삼천포(대)","2014-01-21","7000"
"(활)바위굴:삼천포(대)","2014-01-21","16000"
"(활)바위굴:통영(대)","2014-01-21","16000"
"(활)바위굴:마산(중)","2014-01-21","7800"
"(활)바위굴:마산(대)","2014-01-21","15400"
"(선)바위굴:마산(대)","2014-01-21","20000"
"(선)바위굴:통영(대)","2014-01-21","20100"
"(활)바위굴:통영(대)","2014-01-22","13100"
"(활)바위굴:사천(중)","2014-01-22","14000"
"(활)바위굴:마산(대)","2014-01-22","16000"
"(활)바위굴:사천(대)","2014-01-22","15000"
"(활)바위굴:삼천포(대)","2014-01-22","16000"
"(선)바위굴:마산(대)","2014-01-22","20000"
"(선)바위굴:통영(대)","2014-01-22","18300"
"(활)바위굴:삼천포(대)","2014-01-23","16000"
"(활)바위굴:사천(대)","2014-01-23","15800"
"(활)바위굴:마산(대)","2014-01-23","16200"
"(활)바위굴:통영(대)","2014-01-23","16000"
"(선)바위굴:마산(대)","2014-01-23","20000"
"(선)바위굴:통영(대)","2014-01-23","16200"
"(활)바위굴:마산(대)","2014-01-24","16000"
"(활)바위굴:통영(대)","2014-01-24","16000"
"(활)바위굴:삼천포(대)","2014-01-24","16000"
"(활)바위굴:사천(대)","2014-01-24","15900"
"(활)바위굴:마산(중)","2014-01-24","13300"
"(선)바위굴:통영(중)","2014-01-24","20000"
"(선)바위굴:마산(대)","2014-01-24","20000"
"(선)바위굴:통영(대)","2014-01-24","18800"
"(활)바위굴:마산(중)","2014-01-25","9500"
"(활)바위굴:사천(대)","2014-01-25","15600"
"(활)바위굴:마산(대)","2014-01-25","15800"
"(활)바위굴:통영(대)","2014-01-25","16000"
"(선)바위굴:통영(대)","2014-01-25","19100"
"(선)바위굴:통영(중)","2014-01-25","18500"
"(선)바위굴:마산(대)","2014-01-25","20000"
"(활)바위굴:마산(중)","2014-01-27","8100"
"(활)바위굴:마산(대)","2014-01-27","16000"
